Sorting Algorithm,Array Size,Time Taken in NanoSecond
Insertion Sort,5,6875
Insertion Sort,10,1334
Insertion Sort,100,41625
Insertion Sort,1000,1298500
Insertion Sort,2000,2009875
Insertion Sort,4000,1324833
Insertion Sort,5000,1364500
Insertion Sort,8000,3219208
Insertion Sort,10000,5276166
Insertion Sort,20000,20748708
Insertion Sort,30000,46369042
Insertion Sort,40000,84347833
Insertion Sort,50000,134569250
Insertion Sort,80000,348186750
Insertion Sort,100000,537910333
Selection Sort,5,8250
Selection Sort,10,1041
Selection Sort,100,56375
Selection Sort,1000,1709500
Selection Sort,2000,1867416
Selection Sort,4000,4835750
Selection Sort,5000,2084417
Selection Sort,8000,5299458
Selection Sort,10000,8517917
Selection Sort,20000,33549000
Selection Sort,30000,75228333
Selection Sort,40000,132854500
Selection Sort,50000,207689375
Selection Sort,80000,533447250
Selection Sort,100000,833660125
Bubble Sort,5,6167
Bubble Sort,10,417
Bubble Sort,100,1584
Bubble Sort,1000,15959
Bubble Sort,2000,27792
Bubble Sort,4000,55500
Bubble Sort,5000,128417
Bubble Sort,8000,110375
Bubble Sort,10000,137417
Bubble Sort,20000,279208
Bubble Sort,30000,399917
Bubble Sort,40000,97500
Bubble Sort,50000,121875
Bubble Sort,80000,164917
Bubble Sort,100000,215792
